gbifID,c1_sem_coordenada,c1_coordenada_zero,c1_lat_fora_intervalo,c1_lon_fora_intervalo,c1_duplicata_provavel,c1_issue_gbif,c1_occurrence_status,c1_status_nao_presente,c2_taxon_rank,c2_status_taxonomico,c2_nome_aceito,c2_infraespecifico,c3_country_code,c3_estado_gbif,c3_fora_estados_alvo,c3_fora_amazonia_plausivel,c3_issue_geo,c3_coordenada_institucional_suspeita,c4_incerteza_m,c4_incerteza_ausente,c4_incerteza_grande,c4_distancia_centroide_m,c4_possivel_centroide,c5_ano,c5_ano_ausente,c5_pre_1970,c5_ano_futuro_ou_invalido,c6_basis_of_record,c6_fossil,c6_establishment,c6_cultivado_ou_cativo,c7_dataset,c7_instituicao,decisao,justificativa,revisado_por,data_auditoria
6511049937,False,False,False,False,False,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;TAXON_ID_NOT_FOUND;SCIENTIFIC_NAME_ID_NOT_FOUND,PRESENT,False,SPECIES,SYNONYM,"Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)",,BR,Amazonas,False,False,False,False,,True,False,,False,2011.0,False,False,False,HUMAN_OBSERVATION,False,,False,ICMBio;Dados de ocorrência de espécies do Sistema de Autorização e Informações de Biodiversidade (SISBio) do ICMBio,ICMBio,MANTER_COM_RESSALVA,incerteza de coordenada nao informada,Leonardo Andrade Aragao (com apoio de IA - Claude/Anthropic),2026-09-23
6511037330,False,False,False,False,True,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;SCIENTIFIC_NAME_ID_NOT_FOUND;TAXON_ID_NOT_FOUND;TAXON_MATCH_FUZZY,PRESENT,False,SPECIES,ACCEPTED,"Lagothrix lagothricha (Humboldt, 1812)",,BR,Rio de Janeiro,True,True,False,True,,True,False,,False,2017.0,False,False,False,HUMAN_OBSERVATION,False,,False,ICMBio;Dados de ocorrência de espécies do Sistema de Autorização e Informações de Biodiversidade (SISBio) do ICMBio,ICMBio,EXCLUIR,"coordenada repetida entre registros do mesmo dataset em datas distintas, fora da Amazonia plausivel - provavel endereco institucional (sede/permissionario SISBio), nao local de observacao",Leonardo Andrade Aragao (com apoio de IA - Claude/Anthropic),2026-09-23
6511016621,False,False,False,False,True,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;SCIENTIFIC_NAME_ID_NOT_FOUND;TAXON_ID_NOT_FOUND,PRESENT,False,SPECIES,SYNONYM,"Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)",,BR,Distrito Federal,True,True,False,True,,True,False,,False,2019.0,False,False,False,HUMAN_OBSERVATION,False,,False,ICMBio;Dados de ocorrência de espécies do Sistema de Autorização e Informações de Biodiversidade (SISBio) do ICMBio,ICMBio,EXCLUIR,"coordenada repetida entre registros do mesmo dataset em datas distintas, fora da Amazonia plausivel - provavel endereco institucional (sede/permissionario SISBio), nao local de observacao",Leonardo Andrade Aragao (com apoio de IA - Claude/Anthropic),2026-09-23
6511000287,False,False,False,False,False,CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;TAXON_ID_NOT_FOUND;SCIENTIFIC_NAME_ID_NOT_FOUND,PRESENT,False,SPECIES,ACCEPTED,"Lagothrix lagothricha (Humboldt, 1812)",,BR,Amazonas,False,False,False,False,,True,False,,False,2022.0,False,False,False,HUMAN_OBSERVATION,False,,False,ICMBio;Dados de ocorrência de espécies do Sistema de Autorização e Informações de Biodiversidade (SISBio) do ICMBio,ICMBio,MANTER_COM_RESSALVA,incerteza de coordenada nao informada,Leonardo Andrade Aragao (com apoio de IA - Claude/Anthropic),2026-09-23
6510994417,False,False,False,False,False,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;TAXON_ID_NOT_FOUND;SCIENTIFIC_NAME_ID_NOT_FOUND,PRESENT,False,SPECIES,SYNONYM,"Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)",,BR,Mato Grosso,True,False,False,False,,True,False,,False,2012.0,False,False,False,HUMAN_OBSERVATION,False,,False,ICMBio;Dados de ocorrência de espécies do Sistema de Autorização e Informações de Biodiversidade (SISBio) do ICMBio,ICMBio,MANTER_COM_RESSALVA,"fora da area de estudo do projeto (AM/AC/RO), pais=BR regiao=Mato Grosso - populacao vizinha plausivel, usada so para dar contraste ambiental a M, nao entra no resultado final por UC",Leonardo Andrade Aragao (com apoio de IA - Claude/Anthropic),2026-09-23
6510959992,False,False,False,False,True,CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;TAXON_ID_NOT_FOUND;SCIENTIFIC_NAME_ID_NOT_FOUND,PRESENT,False,SPECIES,SYNONYM,"Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)",,BR,Amazonas,False,False,False,False,,True,False,,False,2018.0,False,False,False,HUMAN_OBSERVATION,False,,False,ICMBio;Dados de ocorrência de espécies do Sistema de Autorização e Informações de Biodiversidade (SISBio) do ICMBio,ICMBio,MANTER_COM_RESSALVA,possivel duplicata (mesma coordenada/data/coletor) - conferir antes de modelar,Leonardo Andrade Aragao (com apoio de IA - Claude/Anthropic),2026-09-23
6510933643,False,False,False,False,False,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;SCIENTIFIC_NAME_ID_NOT_FOUND;TAXON_ID_NOT_FOUND,PRESENT,False,SPECIES,SYNONYM,"Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)",,BR,Amazonas,False,False,False,False,,True,False,,False,2011.0,False,False,False,HUMAN_OBSERVATION,False,,False,ICMBio;Dados de ocorrência de espécies do Sistema de Autorização e Informações de Biodiversidade (SISBio) do ICMBio,ICMBio,MANTER_COM_RESSALVA,incerteza de coordenada nao informada,Leonardo Andrade Aragao (com apoio de IA - Claude/Anthropic),2026-09-23
6510891196,False,False,False,False,False,CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;SCIENTIFIC_NAME_ID_NOT_FOUND;TAXON_ID_NOT_FOUND,PRESENT,False,SPECIES,SYNONYM,"Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)",,BR,Rondônia,False,False,False,False,,True,False,,False,2010.0,False,False,False,HUMAN_OBSERVATION,False,,False,ICMBio;Dados de ocorrência de espécies do Sistema de Autorização e Informações de Biodiversidade (SISBio) do ICMBio,ICMBio,MANTER_COM_RESSALVA,incerteza de coordenada nao informada,Leonardo Andrade Aragao (com apoio de IA - Claude/Anthropic),2026-09-23
6510887179,False,False,False,False,True,GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;TAXON_ID_NOT_FOUND;SCIENTIFIC_NAME_ID_NOT_FOUND;TAXON_MATCH_FUZZY,PRESENT,False,SPECIES,ACCEPTED,"Lagothrix lagothricha (Humboldt, 1812)",,BR,Rio de Janeiro,True,True,False,True,,True,False,,False,2017.0,False,False,False,HUMAN_OBSERVATION,False,,False,ICMBio;Dados de ocorrência de espécies do Sistema de Autorização e Informações de Biodiversidade (SISBio) do ICMBio,ICMBio,EXCLUIR,"coordenada repetida entre registros do mesmo dataset em datas distintas, fora da Amazonia plausivel - provavel endereco institucional (sede/permissionario SISBio), nao local de observacao",Leonardo Andrade Aragao (com apoio de IA - Claude/Anthropic),2026-09-23
6510868958,False,False,False,False,False,CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;TAXON_ID_NOT_FOUND;SCIENTIFIC_NAME_ID_NOT_FOUND,PRESENT,False,SPECIES,SYNONYM,"Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)",,BR,Rondônia,False,False,False,False,,True,False,,False,2009.0,False,False,False,HUMAN_OBSERVATION,False,,False,ICMBio;Dados de ocorrência de espécies do Sistema de Autorização e Informações de Biodiversidade (SISBio) do ICMBio,ICMBio,MANTER_COM_RESSALVA,incerteza de coordenada nao informada,Leonardo Andrade Aragao (com apoio de IA - Claude/Anthropic),2026-09-23
6510857753,False,False,False,False,False,CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;SCIENTIFIC_NAME_ID_NOT_FOUND;TAXON_ID_NOT_FOUND;TAXON_MATCH_FUZZY,PRESENT,False,SPECIES,ACCEPTED,"Lagothrix lagothricha (Humboldt, 1812)",,BR,Amazonas,False,False,False,False,,True,False,,False,2017.0,False,False,False,HUMAN_OBSERVATION,False,,False,ICMBio;Dados de ocorrência de espécies do Sistema de Autorização e Informações de Biodiversidade (SISBio) do ICMBio,ICMBio,MANTER_COM_RESSALVA,incerteza de coordenada nao informada,Leonardo Andrade Aragao (com apoio de IA - Claude/Anthropic),2026-09-23
6510849059,False,False,False,False,False,COORDINATE_REPROJECTED;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;SCIENTIFIC_NAME_ID_NOT_FOUND;TAXON_ID_NOT_FOUND,PRESENT,False,SPECIES,SYNONYM,"Lagothrix lagothricha cana (É.Geoffroy Saint-Hilaire, 1812)",,BR,Rondônia,False,False,False,False,,True,False,,False,2011.0,False,False,False,HUMAN_OBSERVATION,False,,False,ICMBio;Dados de ocorrência de espécies do Sistema de Autorização e Informações de Biodiversidade (SISBio) do ICMBio,ICMBio,MANTER_COM_RESSALVA,incerteza de coordenada nao informada,Leonardo Andrade Aragao (com apoio de IA - Claude/Anthropic),2026-09-23
